hipotesi,estacio,x,y,n,pearson_r,pearson_p,spearman_r,spearman_p,pearson_q_fdr,spearman_q_fdr
H3,Spring,wemo,anomalia_temperatura,480,-0.3750034979413447,1.786289264221039e-17,-0.35638849973127906,8.03434956085503e-16,4.76343803792277e-17,2.142493216228008e-15
H3,Spring,wemo,anomalia_sst,480,-0.3555043884985012,9.56759466479872e-16,-0.3178794988620927,9.88837123480375e-13,1.913518932959744e-15,1.97767424696075e-12
H3,Autumn,wemo,anomalia_temperatura,480,-0.4032528249788381,3.398330095750434e-20,-0.39096823779318746,5.581357218899645e-19,1.3593320383001735e-19,2.232542887559858e-18
H3,Autumn,wemo,anomalia_sst,480,-0.46833614530333084,1.5376088408249074e-27,-0.43954177597327065,4.292753365755421e-24,1.230087072659926e-26,3.434202692604337e-23
H3,Winter,wemo,anomalia_temperatura,480,0.033834583163520685,0.4595684700331541,0.05548001913649007,0.2250259350159326,0.4595684700331541,0.2250259350159326
H3,Winter,wemo,anomalia_sst,480,0.03683757798508168,0.4206812201080489,0.06949236572366407,0.12841793570838816,0.4595684700331541,0.14676335509530075
H3,Summer,wemo,anomalia_temperatura,480,-0.22138736749173604,9.65105547092736e-07,-0.200878791383066,9.213890231274817e-06,1.5441688753483775e-06,1.4742224370039707e-05
H3,Summer,wemo,anomalia_sst,480,-0.17834740975998697,8.538860674032838e-05,-0.14942919415359115,0.0010243625305524457,0.00011385147565377118,0.001365816707403261
