,count,mean,std,min,25%,50%,75%,max
nao,1920.0,0.03577083333333329,1.8348602312850895,-4.7,-1.2325,0.015,1.3450000000000002,5.26
wemo,1920.0,-0.08660416666666666,1.0858874564571688,-3.18,-0.81,-0.11499999999999999,0.68,3.19
roni,1920.0,0.02270833333333333,0.9096122431367879,-1.9,-0.6,-0.1,0.525,2.5
temperatura_mitjana,1920.0,15.465716324135418,5.657576834351541,-1.2937582,11.5566005,14.855284000000001,20.336143749999998,27.416777
precipitacio_mm_dia,1920.0,1.6772967301703126,1.2316511644743064,0.014241233,0.7376309624999999,1.42300625,2.3516785000000002,8.113246
precipitacio_mensual_mm,1920.0,50.98098254038341,37.457213231988064,0.4414782086387276,22.568469792604446,43.37437844276428,71.54112911224365,251.51062488555908
humitat_sol_capa1,1920.0,0.27797411594375004,0.0789143877416164,0.10941505,0.2198145825,0.28966763500000003,0.34782205499999996,0.40623033
temperatura_superficie_mar,1920.0,18.29428422838542,4.066861549152561,11.700174,14.65772775,17.651597000000002,21.82867975,27.904104
anomalia_temperatura,1920.0,-3.77623437371651e-08,1.0761345555976325,-5.1586404,-0.6848037375,-0.0017447471500000003,0.7191173875,4.0522118
anomalia_precipitacio_mensual_mm,1920.0,1.7763568394002506e-16,27.838935519411333,-93.4013146609068,-17.065353669412435,-3.261848048644606,14.003614287916573,139.4382505208254
anomalia_humitat_sol_capa1,1920.0,7.136725521314502e-10,0.03494277946291806,-0.110004365,-0.0207477695,0.0011816174,0.0212533325,0.13172111
anomalia_sst,1920.0,-5.4014687485744636e-08,0.7528739814647496,-2.5700512,-0.4234323525,-0.032192708,0.4328179325,3.652361
