model,term,coef,p_value,ci_low,ci_high,r_squared,n,q_fdr
H1_precipitacio_nao_estacio,Intercept,4.915326069654487,0.0012184381537787324,1.9368819290661023,7.893770210242872,0.1292053507725489,1920,0.004123944520481864
H1_precipitacio_nao_estacio,C(estacio)[T.Spring],-4.057367682298526,0.023592095978577383,-7.570318749301585,-0.5444166152954684,0.1292053507725489,1920,0.0648782639410878
H1_precipitacio_nao_estacio,C(estacio)[T.Summer],-5.133811933269362,0.0005583621749774214,-8.049451794937193,-2.218172071601531,0.1292053507725489,1920,0.002047327974917212
H1_precipitacio_nao_estacio,C(estacio)[T.Autumn],-8.514672190546698,3.4292012055996185e-05,-12.54286337196596,-4.486481009127433,0.1292053507725489,1920,0.00016764983671820356
H1_precipitacio_nao_estacio,C(subregio)[T.Catalunya_Balears],-9.964740436840965e-15,0.9999999999999944,-2.823959637217838,2.8239596372178184,0.1292053507725489,1920,0.9999999999999993
H1_precipitacio_nao_estacio,C(subregio)[T.Golf_Lleo],1.6290855985456517e-15,0.9999999999999993,-3.703878741138441,3.7038787411384444,0.1292053507725489,1920,0.9999999999999993
H1_precipitacio_nao_estacio,C(subregio)[T.Mediterrani_Central_Occidental],-1.3517936786467534e-14,0.9999999999999923,-2.7625122225920005,2.762512222591974,0.1292053507725489,1920,0.9999999999999993
H1_precipitacio_nao_estacio,nao,-6.334863369761987,3.027388132038426e-27,-7.483250068887305,-5.186476670636669,0.1292053507725489,1920,1.3320507780969074e-25
H1_precipitacio_nao_estacio,nao:C(estacio)[T.Spring],0.7119793455831696,0.4767816978346626,-1.2493373378817199,2.6732960290480587,0.1292053507725489,1920,0.8660830651880519
H1_precipitacio_nao_estacio,nao:C(estacio)[T.Summer],5.57070412657382,1.825871073280288e-15,4.197777948688763,6.9436303044588765,0.1292053507725489,1920,2.0084581806083168e-14
H1_precipitacio_nao_estacio,nao:C(estacio)[T.Autumn],-0.8710347701623591,0.38304040310690524,-2.8281380885411878,1.0860685482164694,0.1292053507725489,1920,0.8025608446049443
H2_humitat_nao_estacio,Intercept,0.0043668137223353935,0.05866760420188289,-0.00016003143290185123,0.008893658877572638,0.06835786564245949,1920,0.15184556381663808
H2_humitat_nao_estacio,C(estacio)[T.Spring],-0.0032496435064696136,0.1411644255644585,-0.007578097482692285,0.001078810469753058,0.06835786564245949,1920,0.3450685958242319
H2_humitat_nao_estacio,C(estacio)[T.Summer],-0.004501882225230796,0.016047956797813637,-0.008166406906878584,-0.0008373575435830093,0.06835786564245949,1920,0.04707400660692
H2_humitat_nao_estacio,C(estacio)[T.Autumn],-0.006835449566220904,0.003418509225392653,-0.011412005443624494,-0.0022588936888173136,0.06835786564245949,1920,0.010743886136948337
H2_humitat_nao_estacio,C(subregio)[T.Catalunya_Balears],-1.1598166769865805e-09,0.9999996009898034,-0.004545625141502217,0.004545622821868864,0.06835786564245949,1920,0.9999999999999993
H2_humitat_nao_estacio,C(subregio)[T.Golf_Lleo],2.2061937502610373e-09,0.9999992220616941,-0.004434926530320016,0.004434930942707516,0.06835786564245949,1920,0.9999999999999993
H2_humitat_nao_estacio,C(subregio)[T.Mediterrani_Central_Occidental],8.253797856305142e-10,0.9999997348829929,-0.004868602511800281,0.004868604162559851,0.06835786564245949,1920,0.9999999999999993
H2_humitat_nao_estacio,nao,-0.00562794180046939,1.6777457903028909e-18,-0.006884688236384045,-0.004371195364554734,0.06835786564245949,1920,2.4606938257775734e-17
H2_humitat_nao_estacio,nao:C(estacio)[T.Spring],-0.0016937434025125642,0.18851336859366663,-0.004218231694319135,0.0008307448892940069,0.06835786564245949,1920,0.43655727463796484
H2_humitat_nao_estacio,nao:C(estacio)[T.Summer],0.005155534485202199,4.376638167472539e-08,0.003309913372484201,0.007001155597920198,0.06835786564245949,1920,2.7510297052684533e-07
H2_humitat_nao_estacio,nao:C(estacio)[T.Autumn],0.0006857331067247347,0.5690309880019058,-0.0016743394151304619,0.0030458056285799315,0.06835786564245949,1920,0.8715284193494879
H3_temperatura_wemo_estacio,Intercept,-0.0049782716796427035,0.9388763004131896,-0.13222061524525744,0.12226407188597202,0.07954740972797536,1920,0.9999999999999993
H3_temperatura_wemo_estacio,C(estacio)[T.Spring],-0.04099250757034899,0.5631543511877097,-0.17995659735129943,0.09797158221060144,0.07954740972797536,1920,0.8715284193494879
H3_temperatura_wemo_estacio,C(estacio)[T.Summer],-0.03545287725296237,0.6328071060422713,-0.18088890555070034,0.1099831510447756,0.07954740972797536,1920,0.9281170888619978
H3_temperatura_wemo_estacio,C(estacio)[T.Autumn],-0.041221884260002985,0.5668116458456617,-0.18228329458841783,0.09983952606841187,0.07954740972797536,1920,0.8715284193494879
H3_temperatura_wemo_estacio,C(subregio)[T.Catalunya_Balears],-5.930895798968337e-08,0.9999992176106124,-0.11854567467480467,0.11854555605688868,0.07954740972797536,1920,0.9999999999999993
H3_temperatura_wemo_estacio,C(subregio)[T.Golf_Lleo],1.7786458351624539e-07,0.9999980954349924,-0.14604318728094054,0.14604354301010755,0.07954740972797536,1920,0.9999999999999993
H3_temperatura_wemo_estacio,C(subregio)[T.Mediterrani_Central_Occidental],1.1320416704245486e-07,0.9999984630837688,-0.11518606498576257,0.11518629139409665,0.07954740972797536,1920,0.9999999999999993
H3_temperatura_wemo_estacio,wemo,0.04405464720415428,0.4312890230305695,-0.06566182450773325,0.1537711189160418,0.07954740972797536,1920,0.8625780460611391
H3_temperatura_wemo_estacio,wemo:C(estacio)[T.Spring],-0.353619729503831,6.108672581938695e-08,-0.48159874113380574,-0.22564071787385634,0.07954740972797536,1920,3.359769920066282e-07
H3_temperatura_wemo_estacio,wemo:C(estacio)[T.Summer],-0.25408708629480403,0.0002738643044112721,-0.39094414767411745,-0.11723002491549064,0.07954740972797536,1920,0.0010954572176450884
H3_temperatura_wemo_estacio,wemo:C(estacio)[T.Autumn],-0.4342036010017242,1.1228750488617733e-10,-0.5661573167272462,-0.30224988527620217,0.07954740972797536,1920,9.881300429983605e-10
H3_sst_wemo_estacio,Intercept,-0.0022733640876157436,0.9467780402718977,-0.06902222280223012,0.06447549462699863,0.09952790277521051,1920,0.9999999999999993
H3_sst_wemo_estacio,C(estacio)[T.Spring],-0.02396087230871699,0.4920926506750295,-0.0923211679789932,0.04439942336155922,0.09952790277521051,1920,0.8660830651880519
H3_sst_wemo_estacio,C(estacio)[T.Summer],-0.028691896179355643,0.574416458207617,-0.1288328855897868,0.07144909323107551,0.09952790277521051,1920,0.8715284193494879
H3_sst_wemo_estacio,C(estacio)[T.Autumn],-0.040050620074995484,0.3321160805563347,-0.12098780732500108,0.04088656717501011,0.09952790277521051,1920,0.7306553772239364
H3_sst_wemo_estacio,C(subregio)[T.Catalunya_Balears],-2.2009958317483315e-07,0.9999957299164504,-0.08060689378876348,0.08060645358959714,0.09952790277521051,1920,0.9999999999999993
H3_sst_wemo_estacio,C(subregio)[T.Golf_Lleo],-2.640520832060525e-07,0.9999956401016059,-0.09471147346104247,0.09471094535687605,0.09952790277521051,1920,0.9999999999999993
H3_sst_wemo_estacio,C(subregio)[T.Mediterrani_Central_Occidental],-1.52537498256203e-08,0.9999997180087186,-0.08459197585441103,0.08459194534691139,0.09952790277521051,1920,0.9999999999999993
H3_sst_wemo_estacio,wemo,0.020118353853344633,0.4517067815498088,-0.03227692126531649,0.07251362897200575,0.09952790277521051,1920,0.864134712530069
H3_sst_wemo_estacio,wemo:C(estacio)[T.Spring],-0.1967813072847377,9.311479107618716e-09,-0.26394073967913045,-0.1296218748903449,0.09952790277521051,1920,6.828418012253725e-08
H3_sst_wemo_estacio,wemo:C(estacio)[T.Summer],-0.18097706088361182,0.00023951941369981285,-0.27754333550661064,-0.084410786260613,0.09952790277521051,1920,0.0010538854202791765
H3_sst_wemo_estacio,wemo:C(estacio)[T.Autumn],-0.3775342968811886,3.3873672975850865e-22,-0.45391179213717525,-0.301156801625202,0.09952790277521051,1920,7.45220805468719e-21
