model,term,coef_logit,odds_ratio,p_value,or_ci_low,or_ci_high,pseudo_r2,n,q_fdr
H5_periode_subregio,Intercept,-3.574807436589665,0.02802082103959956,6.339278819874293e-26,0.014404075519612399,0.05451001771437489,0.0578387782131311,1920,1.901783645962288e-24
H5_periode_subregio,C(periode)[T.1991-2000],0.38565317571009816,1.4705745513844204,0.3316221993619892,0.6750915501935942,3.2034018357352103,0.0578387782131311,1920,0.4104602314234957
H5_periode_subregio,C(periode)[T.2001-2010],1.1477210388392347,3.151003705780149,0.0012060226291746418,1.572846390288898,6.312647195010902,0.0578387782131311,1920,0.003618067887523926
H5_periode_subregio,C(periode)[T.2011-2020],1.7899411935824343,5.989100258496529,9.436165963860979e-08,3.1038207111909215,11.556505753375266,0.0578387782131311,1920,5.661699578316587e-07
H5_periode_subregio,C(subregio)[T.Catalunya_Balears],-0.24554266621940804,0.7822799061563519,0.3557322005670296,0.46456794337687213,1.3172709402369334,0.0578387782131311,1920,0.4104602314234957
H5_periode_subregio,C(subregio)[T.Golf_Lleo],-0.09924627845560371,0.9055196705740287,0.6997922715718099,0.54678290512658,1.4996187080989223,0.0578387782131311,1920,0.69979227157181
H5_periode_subregio,C(subregio)[T.Mediterrani_Central_Occidental],-0.4123673186469707,0.662081036671102,0.13630183445408162,0.3848476629875024,1.139025493143546,0.0578387782131311,1920,0.24053264903661464
H5_periode_subregio_estacio,Intercept,-3.8093784768485444,0.022161948841729496,1.2592504566091563e-22,0.010336014129144491,0.047518508617217625,0.06070969492166489,1920,1.2592504566091563e-21
H5_periode_subregio_estacio,C(periode)[T.1991-2000],0.38590110604659356,1.4709391966292278,0.33146349468130687,0.6750936213191815,3.204980837994421,0.06070969492166489,1920,0.4104602314234957
H5_periode_subregio_estacio,C(periode)[T.2001-2010],1.148811629567022,3.1544420357695073,0.0011985432590137235,1.5741230825236403,6.3213002004118914,0.06070969492166489,1920,0.003618067887523926
H5_periode_subregio_estacio,C(periode)[T.2011-2020],1.792319960697911,6.003363891447303,9.203424123952267e-08,3.110230931354846,11.58768554765603,0.06070969492166489,1920,5.661699578316587e-07
H5_periode_subregio_estacio,C(subregio)[T.Catalunya_Balears],-0.24600062519349208,0.7819217360729438,0.35528212449939567,0.46413068419534637,1.3173048500408897,0.06070969492166489,1920,0.4104602314234957
H5_periode_subregio_estacio,C(subregio)[T.Golf_Lleo],-0.09944119937551575,0.9053431830479562,0.699511779761525,0.5464058853081782,1.5000685408597252,0.06070969492166489,1920,0.69979227157181
H5_periode_subregio_estacio,C(subregio)[T.Mediterrani_Central_Occidental],-0.4130919500624969,0.6616014457366206,0.13595348519513586,0.38438811058381106,1.1387357229545418,0.06070969492166489,1920,0.24053264903661464
H5_periode_subregio_estacio,C(estacio)[T.Spring],0.3136507506869825,1.368411736222791,0.2657069122100779,0.7876682413001315,2.377334240036676,0.06070969492166489,1920,0.3795813031572542
