ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_el_nino_minus_la_nina_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,q_fdr
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,39,37,6,3,15.384615384615385,8.108108108108109,-7.276507276507277,0.5312057867863316,7.276507276507277,Mediterrani_Central_Occidental,Autumn,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,30,34,3,1,10.0,2.941176470588235,-7.0588235294117645,0.5177862052646542,7.0588235294117645,Catalunya_Balears,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,30,34,3,1,10.0,2.941176470588235,-7.0588235294117645,0.5177862052646542,7.0588235294117645,Mediterrani_Central_Occidental,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,35,29,6,7,17.142857142857142,24.137931034482758,6.9950738916256165,0.7036977225641783,6.9950738916256165,Catalunya_Balears,,2001-2010,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_calid,46,40,6,8,13.043478260869565,20.0,6.956521739130436,0.5627237252340845,6.956521739130436,Mediterrani_Central_Occidental,Winter,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,45,24,10,7,22.22222222222222,29.166666666666668,6.944444444444447,0.730617980386836,6.944444444444447,Mediterrani_Central_Occidental,,2011-2020,1.0
estacio,roni,La Nina,El Nino,sol_molt_humit,156,148,44,52,28.205128205128204,35.13513513513514,6.9300069300069325,0.23966240850307244,6.9300069300069325,,Autumn,,1.0
periode,roni,La Nina,El Nino,mes_molt_sec,140,116,6,13,4.285714285714286,11.206896551724139,6.921182266009852,0.062388371168219624,6.921182266009852,,,2001-2010,0.9501416419511545
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,35,29,0,2,0.0,6.896551724137931,6.896551724137931,0.39150061401109715,6.896551724137931,Llevant_Iberic,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,35,29,0,2,0.0,6.896551724137931,6.896551724137931,0.39150061401109715,6.896551724137931,Catalunya_Balears,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_sec,45,24,18,8,40.0,33.33333333333333,-6.6666666666666705,0.7768086059073889,6.6666666666666705,Llevant_Iberic,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,45,24,3,0,6.666666666666667,0.0,-6.666666666666667,0.5005565178349584,6.666666666666667,Catalunya_Balears,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sol_sec,30,34,2,0,6.666666666666667,0.0,-6.666666666666667,0.41805107365958694,6.666666666666667,Golf_Lleo,,1981-1990,1.0
periode,roni,La Nina,El Nino,episodi_calid_i_sec,180,96,7,10,3.888888888888889,10.416666666666668,6.527777777777779,0.05935241733271994,6.527777777777779,,,2011-2020,0.9501416419511545
periode,roni,La Nina,El Nino,mes_molt_fred,120,136,29,24,24.166666666666668,17.647058823529413,-6.519607843137254,0.2583979923339958,6.519607843137254,,,1981-1990,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,27,31,0,2,0.0,6.451612903225806,6.451612903225806,0.5340436817762562,6.451612903225806,Catalunya_Balears,Summer,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,27,31,0,2,0.0,6.451612903225806,6.451612903225806,0.5340436817762562,6.451612903225806,Catalunya_Balears,Summer,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,35,29,5,6,14.285714285714285,20.689655172413794,6.403940886699508,0.7314543361407839,6.403940886699508,Golf_Lleo,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_sec,45,24,14,9,31.11111111111111,37.5,6.388888888888888,0.7886260925408413,6.388888888888888,Catalunya_Balears,,2011-2020,1.0
subregio,roni,La Nina,El Nino,sol_molt_sec,146,138,33,40,22.602739726027394,28.985507246376812,6.382767520349416,0.2737900994628978,6.382767520349416,Mediterrani_Central_Occidental,,,1.0
estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,108,124,1,9,0.9259259259259258,7.258064516129033,6.332138590203106,0.04087224425405081,6.332138590203106,,Summer,,0.925029678159054
periode,roni,La Nina,El Nino,episodi_fred_i_humit,120,136,12,5,10.0,3.6764705882352944,-6.323529411764706,0.07569115853877369,6.323529411764706,,,1981-1990,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_calid,39,37,6,8,15.384615384615385,21.62162162162162,6.237006237006238,0.685434948183985,6.237006237006238,Llevant_Iberic,Autumn,,1.0
estacio,roni,La Nina,El Nino,mes_molt_humit,108,124,2,10,1.8518518518518516,8.064516129032258,6.212664277180406,0.06663330995501603,6.212664277180406,,Summer,,0.9501416419511545
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,35,29,7,4,20.0,13.793103448275861,-6.206896551724139,0.747155673274784,6.206896551724139,Llevant_Iberic,,2001-2010,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,46,40,4,1,8.695652173913043,2.5,-6.195652173913043,0.44562409724501884,6.195652173913043,Golf_Lleo,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,39,37,14,11,35.8974358974359,29.72972972972973,-6.167706167706166,0.743074435787517,6.167706167706166,Mediterrani_Central_Occidental,Autumn,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,45,24,1,2,2.2222222222222223,8.333333333333332,6.11111111111111,0.5715052260271486,6.11111111111111,Mediterrani_Central_Occidental,,2011-2020,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,46,40,3,5,6.521739130434782,12.5,5.978260869565218,0.5620093284734795,5.978260869565218,Llevant_Iberic,Winter,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,36,51,0,3,0.0,5.88235294117647,5.88235294117647,0.3764429618732055,5.88235294117647,Llevant_Iberic,,1991-2000,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,34,30,2,0,5.88235294117647,0.0,-5.88235294117647,0.528792770346256,5.88235294117647,Mediterrani_Central_Occidental,Spring,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sol_sec,30,34,0,2,0.0,5.88235294117647,5.88235294117647,0.528792770346256,5.88235294117647,Mediterrani_Central_Occidental,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,45,24,3,3,6.666666666666667,12.5,5.833333333333333,0.7109950950168737,5.833333333333333,Llevant_Iberic,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,45,24,12,5,26.666666666666668,20.833333333333336,-5.833333333333332,0.8085572318249512,5.833333333333332,Golf_Lleo,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,35,29,2,0,5.714285714285714,0.0,-5.714285714285714,0.5576743146528235,5.714285714285714,Mediterrani_Central_Occidental,,2001-2010,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,46,40,2,4,4.3478260869565215,10.0,5.6521739130434785,0.5472174663184937,5.6521739130434785,Catalunya_Balears,Winter,,1.0
estacio,roni,La Nina,El Nino,episodi_fred_i_humit,136,120,11,3,8.088235294117647,2.5,-5.588235294117648,0.09161143034274832,5.588235294117648,,Spring,,1.0
periode,roni,La Nina,El Nino,mes_molt_sec,180,96,20,16,11.11111111111111,16.666666666666664,5.555555555555555,0.26372552610228556,5.555555555555555,,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,45,24,5,4,11.11111111111111,16.666666666666664,5.555555555555555,0.7814977400208473,5.555555555555555,Golf_Lleo,,2011-2020,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,34,30,3,1,8.823529411764707,3.3333333333333335,-5.4901960784313735,0.6979738522659524,5.4901960784313735,Llevant_Iberic,Spring,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,39,37,0,2,0.0,5.405405405405405,5.405405405405405,0.4505036617753728,5.405405405405405,Llevant_Iberic,Autumn,,1.0
periode,roni,La Nina,El Nino,sol_molt_humit,144,204,36,40,25.0,19.607843137254903,-5.392156862745098,0.2857979510401826,5.392156862745098,,,1991-2000,1.0
