ambit,teleconnexio,variable_booleana,n,n_events,event_rate_pct,pointbiserial_r,p_value,abs_r,subregio,estacio,periode,q_fdr
subregio_periode,roni,mes_molt_calid,120,8,6.666666666666667,0.15782035073769077,0.08515180863060727,0.15782035073769077,Mediterrani_Central_Occidental,,1981-1990,0.5480605478763202
subregio_estacio,roni,mes_molt_fred,120,17,14.166666666666666,0.15775392143197753,0.08528493219503962,0.15775392143197753,Catalunya_Balears,Summer,,0.5480605478763202
periode,roni,episodi_calid_i_sec,480,27,5.625,0.15653094030568004,0.0005780322120548754,0.15653094030568004,,,2011-2020,0.045317725425102234
subregio_periode,roni,mes_molt_fred,120,25,20.833333333333336,-0.1555075309616233,0.08988528847008655,0.1555075309616233,Llevant_Iberic,,1981-1990,0.5555823977212263
subregio_estacio,roni,mes_molt_calid,120,26,21.666666666666668,-0.1553879257884006,0.09013564997622113,0.1553879257884006,Golf_Lleo,Spring,,0.5555823977212263
subregio_estacio,roni,mes_molt_calid,120,16,13.333333333333334,0.15511580320244794,0.09070733024020021,0.15511580320244794,Llevant_Iberic,Summer,,0.5555823977212263
subregio_periode,roni,episodi_calid_i_sec,120,3,2.5,0.15400342927735847,0.09307422481770913,0.15400342927735847,Catalunya_Balears,,2001-2010,0.5613091712083382
periode,roni,episodi_calid_i_sol_sec,480,59,12.291666666666666,0.1539650366734867,0.0007127886469775152,0.1539650366734867,,,2011-2020,0.046568858269197655
subregio_estacio,roni,sol_molt_humit,120,41,34.166666666666664,-0.15132128357317237,0.09898261754601015,0.15132128357317237,Mediterrani_Central_Occidental,Spring,,0.5809369608223528
subregio_estacio,roni,sol_molt_humit,120,38,31.666666666666664,0.15042495852956403,0.10102168419036577,0.15042495852956403,Catalunya_Balears,Autumn,,0.5809369608223528
subregio_estacio,roni,episodi_fred_i_humit,120,4,3.3333333333333335,-0.14969344325909512,0.10271018355338518,0.14969344325909512,Mediterrani_Central_Occidental,Spring,,0.5809369608223528
subregio_periode,roni,episodi_calid_i_sec,120,12,10.0,0.14864533981106742,0.1051679684179181,0.14864533981106742,Golf_Lleo,,2011-2020,0.5809369608223528
subregio_estacio,roni,episodi_fred_i_humit,120,3,2.5,-0.14855267724872173,0.10538745877072563,0.14855267724872173,Catalunya_Balears,Spring,,0.5809369608223528
subregio_periode,roni,episodi_calid_i_sec,120,2,1.6666666666666667,0.14800056106349782,0.1067027070898199,0.14800056106349782,Llevant_Iberic,,2001-2010,0.5809369608223528
subregio_estacio,roni,episodi_calid_i_sol_sec,120,6,5.0,0.1472206389813858,0.10858247609394898,0.1472206389813858,Catalunya_Balears,Winter,,0.5830730223127124
subregio_estacio,roni,episodi_calid_i_sec,120,6,5.0,0.1437443547079174,0.11727729587242162,0.1437443547079174,Mediterrani_Central_Occidental,Winter,,0.6009614150145004
subregio_periode,roni,sol_molt_humit,120,48,40.0,-0.14199792792957433,0.12184435473173823,0.14199792792957433,Llevant_Iberic,,1981-1990,0.6009614150145004
subregio_estacio,roni,mes_molt_sec,120,7,5.833333333333333,0.14193909940737706,0.12200055273721644,0.14193909940737706,Llevant_Iberic,Winter,,0.6009614150145004
subregio_estacio,roni,sol_molt_sec,120,43,35.833333333333336,0.14180642132525395,0.12235339894221184,0.14180642132525395,Llevant_Iberic,Spring,,0.6009614150145004
subregio_estacio,roni,mes_molt_fred,120,17,14.166666666666666,0.14112490652347676,0.12417825157187382,0.14112490652347676,Mediterrani_Central_Occidental,Summer,,0.6009614150145004
subregio_estacio,roni,episodi_calid_i_sol_sec,120,9,7.5,0.13957772309474895,0.12839881366825528,0.13957772309474895,Catalunya_Balears,Summer,,0.6081422352576132
subregio_estacio,roni,episodi_calid_i_sec,120,7,5.833333333333333,0.13870647615270154,0.13082345684908936,0.13870647615270154,Golf_Lleo,Winter,,0.6090757738171979
subregio_periode,roni,mes_molt_calid,120,21,17.5,0.13771549267570493,0.13362376670479342,0.13771549267570493,Llevant_Iberic,,2001-2010,0.6090757738171979
subregio_periode,roni,episodi_calid_i_sol_sec,120,1,0.8333333333333334,0.1360526642664841,0.13842511790535975,0.1360526642664841,Catalunya_Balears,,1981-1990,0.6237085772287473
estacio,roni,mes_molt_calid,480,61,12.708333333333332,-0.13554925245746863,0.002922849412605742,0.13554925245746863,,Spring,,0.13745902406512991
estacio,roni,mes_molt_calid,480,73,15.208333333333332,0.13448351490082588,0.0031559469810871666,0.13448351490082588,,Summer,,0.13745902406512991
subregio_estacio,roni,mes_molt_humit,120,3,2.5,0.13296552850624968,0.1476854708069642,0.13296552850624968,Catalunya_Balears,Summer,,0.6402316871463372
