ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_b_minus_a_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,chi2_q_fdr
subregio_periode,nao,Negative,Positive,mes_molt_sec,59,33,7,11,11.864406779661017,33.33333333333333,21.46892655367231,0.02671526903666554,21.46892655367231,Golf_Lleo,,2001-2010,0.15389261613795513
subregio,wemo,Negative,Positive,sol_molt_humit,170,145,68,27,40.0,18.620689655172416,-21.379310344827587,6.396891797614712e-05,21.379310344827587,Llevant_Iberic,,,0.0018160931835179328
subregio,wemo,Negative,Positive,sol_molt_sec,170,145,34,60,20.0,41.37931034482759,21.379310344827584,6.077647008564388e-05,21.379310344827584,Llevant_Iberic,,,0.0017685952794922368
subregio_estacio,wemo,Negative,Positive,sol_molt_humit,43,34,6,12,13.953488372093023,35.294117647058826,21.340629274965803,0.054098578662638126,21.340629274965803,Golf_Lleo,Summer,,0.24126722438050108
periode,nao,Negative,Positive,sol_molt_humit,192,216,80,44,41.66666666666667,20.37037037037037,-21.296296296296298,5.108237615460425e-06,21.296296296296298,,,1981-1990,0.00025852124279982327
subregio_periode,nao,Negative,Positive,sol_molt_humit,44,53,16,8,36.36363636363637,15.09433962264151,-21.269296740994857,0.029223581991865397,21.269296740994857,Catalunya_Balears,,1991-2000,0.1633148575439731
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,34,30,14,6,41.17647058823529,20.0,-21.17647058823529,0.12025665704538206,21.17647058823529,Catalunya_Balears,Spring,,0.40479166321198135
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,34,30,14,6,41.17647058823529,20.0,-21.17647058823529,0.12025665704538206,21.17647058823529,Llevant_Iberic,Spring,,0.40479166321198135
subregio_periode,nao,Negative,Positive,sol_molt_humit,59,33,25,7,42.3728813559322,21.21212121212121,-21.16076014381099,0.06941812674090851,21.16076014381099,Mediterrani_Central_Occidental,,2001-2010,0.2855219064537721
subregio_estacio,wemo,Negative,Positive,sol_molt_humit,33,43,10,4,30.303030303030305,9.30232558139535,-21.000704721634953,0.041117331876111295,21.000704721634953,Catalunya_Balears,Winter,,0.20279904366014215
subregio_periode,wemo,Negative,Positive,sol_molt_humit,46,29,16,4,34.78260869565217,13.793103448275861,-20.98950524737631,0.08297545952428348,20.98950524737631,Llevant_Iberic,,2001-2010,0.32410548619552343
subregio_estacio,wemo,Negative,Positive,mes_molt_calid,46,34,11,1,23.91304347826087,2.941176470588235,-20.971867007672635,0.0225954912733515,20.971867007672635,Catalunya_Balears,Autumn,,0.139159533556514
subregio_estacio,nao,Negative,Positive,mes_molt_humit,40,52,13,6,32.5,11.538461538461538,-20.961538461538463,0.02763977734405531,20.961538461538463,Golf_Lleo,Spring,,0.1569400040413677
subregio_estacio,nao,Negative,Positive,sol_molt_sec,66,32,13,13,19.696969696969695,40.625,20.928030303030305,0.050392574941697126,20.928030303030305,Catalunya_Balears,Autumn,,0.22763943876895115
subregio_periode,nao,Negative,Positive,mes_molt_calid,40,57,12,29,30.0,50.877192982456144,20.877192982456144,0.06573664478943779,20.877192982456144,Golf_Lleo,,2011-2020,0.2752426422118906
subregio_periode,wemo,Negative,Positive,sol_molt_humit,30,47,12,9,40.0,19.148936170212767,-20.851063829787236,0.0816665190666919,20.851063829787236,Catalunya_Balears,,1991-2000,0.3211480682217209
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,45,24,15,13,33.33333333333333,54.166666666666664,20.833333333333332,0.15527621542599948,20.833333333333332,Golf_Lleo,,2011-2020,0.46760419608476766
subregio_periode,nao,Negative,Positive,sol_molt_humit,40,57,16,11,40.0,19.298245614035086,-20.701754385964914,0.044507205053773875,20.701754385964914,Catalunya_Balears,,2011-2020,0.2097424562048291
subregio_estacio,nao,Negative,Positive,sol_molt_humit,66,32,26,6,39.39393939393939,18.75,-20.64393939393939,0.06968235182257775,20.64393939393939,Catalunya_Balears,Autumn,,0.28559949831507214
subregio_periode,wemo,Negative,Positive,mes_molt_fred,35,38,2,10,5.714285714285714,26.31578947368421,20.601503759398497,0.039727521318177354,20.601503759398497,Mediterrani_Central_Occidental,,1981-1990,0.19846710220754696
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,34,30,7,0,20.588235294117645,0.0,-20.588235294117645,0.02560502364025256,20.588235294117645,Catalunya_Balears,Spring,,0.15192215853121235
subregio_estacio,wemo,Negative,Positive,mes_molt_sec,46,34,0,7,0.0,20.588235294117645,20.588235294117645,0.004781394622868089,20.588235294117645,Llevant_Iberic,Autumn,,0.046993443530860046
subregio_estacio,wemo,Negative,Positive,mes_molt_fred,48,34,0,7,0.0,20.588235294117645,20.588235294117645,0.003902307633680095,20.588235294117645,Mediterrani_Central_Occidental,Spring,,0.040197221996492304
subregio,nao,Negative,Positive,sol_molt_humit,191,197,75,37,39.26701570680628,18.781725888324875,-20.485289818481412,1.425865858777802e-05,20.485289818481412,Catalunya_Balears,,,0.0006079354954195884
subregio,nao,Negative,Positive,sol_molt_humit,191,197,65,27,34.031413612565444,13.705583756345177,-20.32582985622027,4.499576321925491e-06,20.32582985622027,Golf_Lleo,,,0.00025852124279982327
subregio_estacio,nao,Negative,Positive,mes_molt_sec,28,69,0,14,0.0,20.28985507246377,20.28985507246377,0.02395147968515453,20.28985507246377,Mediterrani_Central_Occidental,Winter,,0.14574112109686144
