hipotesi,ambit,x,y,n,pearson_r,pearson_p,spearman_r,spearman_p,pearson_q_fdr,spearman_q_fdr
H1,Global,nao,anomalia_precipitacio_mensual_mm,1920,-0.312271247814076,1.0754262783221323e-44,-0.2923121072798656,3.9068486458160304e-39,4.301705113288529e-44,1.5627394583264122e-38
H1,Winter,nao,anomalia_precipitacio_mensual_mm,480,-0.45586082920649684,5.249497910278235e-26,-0.4603847870745505,1.483820826093133e-26,1.049899582055647e-25,2.967641652186266e-26
H2,Global,nao,anomalia_humitat_sol_capa1,1920,-0.22319969867820674,4.2094702381613826e-23,-0.2119518663771454,6.110729777789917e-21,5.612626984215177e-23,8.147639703719889e-21
H2,Winter,nao,anomalia_humitat_sol_capa1,480,-0.38715755176373123,1.2988498875346118e-18,-0.40594498450008304,1.8116081327918295e-20,1.2988498875346118e-18,1.8116081327918295e-20
