model,term,coef,p_value,ci_low,ci_high,r_squared,n,q_fdr
H1_precipitacio_nao,Intercept,3.9558108489251236,0.006024460354978359,1.1328011367087987,6.7788205611414485,0.10493075508211924,1920,0.027540390194186783
H1_precipitacio_nao,C(subregio)[T.Catalunya_Balears],4.2028929488526363e-16,0.9999999999999998,-2.8499776960680694,2.8499776960680703,0.10493075508211924,1920,1.0
H1_precipitacio_nao,C(subregio)[T.Golf_Lleo],3.3377986009870083e-15,0.9999999999999986,-3.733493427790038,3.733493427790045,0.10493075508211924,1920,1.0
H1_precipitacio_nao,C(subregio)[T.Mediterrani_Central_Occidental],2.397310480871514e-17,1.0,-2.793143602038551,2.793143602038551,0.10493075508211924,1920,1.0
H1_precipitacio_nao,C(estacio)[T.Spring],-3.1779041080399537,0.06053897006680202,-6.496541834064553,0.14073361798464568,0.10493075508211924,1920,0.19372470421376647
H1_precipitacio_nao,C(estacio)[T.Summer],-5.413483174417778,0.00024033201714350794,-8.30270603512092,-2.5242603137146364,0.10493075508211924,1920,0.0015381249097184508
H1_precipitacio_nao,C(estacio)[T.Autumn],-6.502382670260884,0.0012682939496249297,-10.45652547711633,-2.548239863405439,0.10493075508211924,1920,0.006764234397999625
H1_precipitacio_nao,nao,-5.098241884556062,3.786969561300407e-51,-5.762456931927392,-4.434026837184732,0.10493075508211924,1920,1.2118302596161302e-49
H2_humitat_nao,Intercept,0.0035489668365885413,0.12218943365661296,-0.0009513100995789297,0.008049243772756013,0.05360755883093726,1920,0.3554601706374195
H2_humitat_nao,C(subregio)[T.Catalunya_Balears],-1.159816667352223e-09,0.9999996032822105,-0.004571891685406841,0.004571889365773507,0.05360755883093726,1920,1.0
H2_humitat_nao,C(subregio)[T.Golf_Lleo],2.2061937508425924e-09,0.9999992251762994,-0.0044527538804433305,0.004452758292830833,0.05360755883093726,1920,1.0
H2_humitat_nao,C(subregio)[T.Mediterrani_Central_Occidental],8.2537980040277e-10,0.9999997365210233,-0.004898870365873729,0.0048988720166333296,0.05360755883093726,1920,1.0
H2_humitat_nao,C(estacio)[T.Spring],-0.0028510625091030476,0.1926064623299082,-0.007139917499177179,0.0014377924809710835,0.05360755883093726,1920,0.47410821496592787
H2_humitat_nao,C(estacio)[T.Summer],-0.004856721088071757,0.01031552194051537,-0.008567731413794593,-0.0011457107623489213,0.05360755883093726,1920,0.03694175944868357
H2_humitat_nao,C(estacio)[T.Autumn],-0.005833633591730846,0.010389869844942253,-0.010295436694678552,-0.0013718304887831408,0.05360755883093726,1920,0.03694175944868357
H2_humitat_nao,nao,-0.004573902209774258,3.446317840658751e-27,-0.005403974280145179,-0.0037438301394033375,0.05360755883093726,1920,2.757054272527001e-26
H3_temperatura_wemo,Intercept,0.02683307064914002,0.6845073582938209,-0.10260143542314577,0.15626757672142583,0.056733942527652736,1920,1.0
H3_temperatura_wemo,C(subregio)[T.Catalunya_Balears],-5.9308958873910704e-08,0.9999992268067689,-0.11995562676269289,0.11995550814477515,0.056733942527652736,1920,1.0
H3_temperatura_wemo,C(subregio)[T.Golf_Lleo],1.7786458289732363e-07,0.9999981154485504,-0.14759413798714724,0.14759449371631303,0.056733942527652736,1920,1.0
H3_temperatura_wemo,C(subregio)[T.Mediterrani_Central_Occidental],1.1320416625735858e-07,0.9999984772353894,-0.116256532370991,0.11625675877932352,0.056733942527652736,1920,1.0
H3_temperatura_wemo,C(estacio)[T.Spring],-0.06209649118130032,0.383087792488093,-0.20163323459667906,0.07744025223407844,0.056733942527652736,1920,0.7211064329187633
H3_temperatura_wemo,C(estacio)[T.Summer],-0.07254434395044376,0.3270813487602213,-0.21762893522571072,0.0725402473248232,0.056733942527652736,1920,0.6608529617373953
H3_temperatura_wemo,C(estacio)[T.Autumn],-0.05495250581116466,0.44987015093783256,-0.19748882023424597,0.08758380861191663,0.056733942527652736,1920,0.7997691572228134
H3_temperatura_wemo,wemo,-0.2374616565903771,5.4491456665353855e-31,-0.2776667146089808,-0.1972565985717734,0.056733942527652736,1920,5.812422044304411e-30
H3_sst_wemo,Intercept,0.020456827011150126,0.5622190562008961,-0.048725711625810526,0.08963936564811079,0.06736957275403521,1920,0.9468952525488776
H3_sst_wemo,C(subregio)[T.Catalunya_Balears],-2.2009958354200645e-07,0.999995803238483,-0.08201518103957567,0.08201474084040858,0.06736957275403521,1920,1.0
H3_sst_wemo,C(subregio)[T.Golf_Lleo],-2.6405208350339917e-07,0.9999957086675353,-0.09622474762933425,0.09622421952516724,0.06736957275403521,1920,1.0
H3_sst_wemo,C(subregio)[T.Mediterrani_Central_Occidental],-1.5253750088547903e-08,0.9999997222717104,-0.08589042207038998,0.08589039156288981,0.06736957275403521,1920,1.0
H3_sst_wemo,C(estacio)[T.Spring],-0.04734013111788225,0.18593520882515557,-0.11748828380643299,0.022808021570668482,0.06736957275403521,1920,0.47410821496592787
H3_sst_wemo,C(estacio)[T.Summer],-0.055305788779375524,0.2800541633462048,-0.15565534202809758,0.04504376446934653,0.06736957275403521,1920,0.6401238019341824
H3_sst_wemo,C(estacio)[T.Autumn],-0.04189422334060524,0.33042648086869764,-0.12626178559219026,0.04247333891097977,0.06736957275403521,1920,0.6608529617373953
H3_sst_wemo,wemo,-0.18103377976404927,2.650497012360099e-31,-0.21152258032833487,-0.15054497919976367,0.06736957275403521,1920,4.240795219776158e-30
