ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr
subregio_estacio_periode,wemo,vent_u10,30,0.8445808787749967,4.424106964475998e-09,0.8608299085418186,1.0475478545381332e-09,0.8445808787749967,0.8608299085418186,Catalunya_Balears,Winter,1991-2000,1.036900069799062e-07,2.964758078881509e-08
subregio_estacio_periode,wemo,vent_u10,30,0.8286286327467373,1.565411907483671e-08,0.7947035048321517,1.5682825338977865e-07,0.8286286327467373,0.7947035048321517,Mediterrani_Central_Occidental,Autumn,1991-2000,3.3907839151270854e-07,3.0851459683235143e-06
subregio_estacio,nao,pressio_nivell_mar,120,0.8274206514820366,2.379658906967578e-31,0.7947877421112909,2.341582216057206e-27,0.8274206514820366,0.7947877421112909,Llevant_Iberic,Winter,,4.3266525581228686e-29,3.7971603503630366e-25
subregio_estacio_periode,wemo,velocitat_vent,30,0.823086161633662,2.3569487018105154e-08,0.8233592880978865,2.3106603701257927e-08,0.823086161633662,0.8233592880978865,Mediterrani_Central_Occidental,Winter,1981-1990,4.876445589952791e-07,5.251500841194983e-07
subregio_periode,wemo,vent_u10,120,0.8229480388796278,9.36752991152664e-31,0.8246334740342677,5.614989738630853e-31,0.8229480388796278,0.8246334740342677,Mediterrani_Central_Occidental,,2011-2020,1.653093513798819e-28,9.90880542111327e-29
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.8225950063552295,2.442326804507541e-08,0.7880743179258521,2.3411831990250352e-07,0.8225950063552295,0.7880743179258521,Llevant_Iberic,Autumn,1991-2000,5.035725370118641e-07,4.47359846947459e-06
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.8220759182708486,2.5356265724965068e-08,0.808766274890026,6.376077783069848e-08,0.8220759182708486,0.808766274890026,Catalunya_Balears,Winter,1981-1990,5.205569004531835e-07,1.3470586865640526e-06
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.8213646745358972,2.668758849939228e-08,0.778729563167838,4.023459732004024e-07,0.8213646745358972,0.778729563167838,Llevant_Iberic,Winter,2001-2010,5.446446632529037e-07,7.249476994601846e-06
subregio_estacio_periode,wemo,vent_u10,30,0.821102342750329,2.7194545077257875e-08,0.8837468071150435,9.776096800215678e-11,0.821102342750329,0.8837468071150435,Golf_Lleo,Autumn,2011-2020,5.531093914018551e-07,3.4102663256566314e-09
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.8194254860264721,3.0648677951304654e-08,0.7984427141268076,1.2430110558550793e-07,0.8194254860264721,0.7984427141268076,Catalunya_Balears,Winter,1991-2000,6.191652111374678e-07,2.5025635061771594e-06
subregio_estacio,wemo,velocitat_vent,120,0.8147599476722672,1.044541982928341e-29,0.8334346170871842,3.5382670995233133e-32,0.8147599476722672,0.8334346170871842,Mediterrani_Central_Occidental,Winter,,1.6938518642081203e-27,6.433212908224206e-30
subregio_estacio_periode,wemo,vent_u10,30,0.8108594940866838,5.541788288689829e-08,0.7876293296040419,2.403789926654396e-07,0.8108594940866838,0.7876293296040419,Mediterrani_Central_Occidental,Spring,2011-2020,1.0795691471473693e-06,4.578647479341707e-06
subregio_estacio_periode,wemo,vent_u10,30,0.8065382114114646,7.388803032601963e-08,0.7433529915839276,2.525381800739407e-06,0.8065382114114646,0.7433529915839276,Catalunya_Balears,Winter,2001-2010,1.4073910538289453e-06,3.6956806840088884e-05
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.8032313203212686,9.164303799026198e-08,0.7397930850094461,2.988924448540548e-06,0.8032313203212686,0.7397930850094461,Mediterrani_Central_Occidental,Winter,1981-1990,1.718306962317412e-06,4.321336552106817e-05
subregio_estacio_periode,wemo,vent_u10,30,0.8007780625286777,1.0724076967342794e-07,0.8362625139043381,8.695062249349499e-09,0.8007780625286777,0.8362625139043381,Catalunya_Balears,Spring,2001-2010,1.9798295939709773e-06,2.1036440925845563e-07
subregio_estacio_periode,wemo,vent_u10,30,0.7996234723563058,1.1538846426388314e-07,0.7521690767519467,1.6439666079850611e-06,0.7996234723563058,0.7521690767519467,Golf_Lleo,Spring,2001-2010,2.1172195277776724e-06,2.5754046078094954e-05
estacio_periode,nao,pressio_nivell_mar,120,0.7971279818219901,1.2816407871078825e-27,0.7612563110523888,6.060007504545879e-24,0.7971279818219901,0.7612563110523888,,Winter,1981-1990,1.9224611806618237e-25,7.272009005455054e-22
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7931065675559189,1.729468944132437e-07,0.7552836484983315,1.406665163835764e-06,0.7931065675559189,0.7552836484983315,Llevant_Iberic,Summer,1991-2000,3.0520040190572417e-06,2.2506642621372224e-05
estacio_periode,nao,pressio_nivell_mar,120,0.7888583402276096,1.041724566242157e-26,0.7603100083978499,7.423170098812461e-24,0.7888583402276096,0.7603100083978499,,Winter,1991-2000,1.48817795177451e-24,8.733141292720544e-22
subregio_estacio_periode,wemo,velocitat_vent,30,0.7875064566164148,2.4213438634447553e-07,0.7597330367074527,1.1213327200422128e-06,0.7875064566164148,0.7597330367074527,Catalunya_Balears,Winter,1981-1990,4.198862190944662e-06,1.813476097103309e-05
subregio_periode,wemo,vent_u10,120,0.7832025945854605,4.139842942284446e-26,0.7749762132985629,2.865844357493965e-25,0.7832025945854605,0.7749762132985629,Catalunya_Balears,,2011-2020,5.645240375842426e-24,4.193918571942387e-23
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7819572342511526,3.347047042597988e-07,0.7539488320355952,1.5042735588033853e-06,0.7819572342511526,0.7539488320355952,Mediterrani_Central_Occidental,Summer,1991-2000,5.672961089149132e-06,2.3877358076244212e-05
subregio_estacio_periode,wemo,pressio_nivell_mar,30,-0.7816931166620419,3.3982328003637585e-07,-0.7967515902011508,1.3816183387276628e-07,0.7816931166620419,0.7967515902011508,Golf_Lleo,Summer,2011-2020,5.727358652298469e-06,2.744937096809926e-06
subregio_estacio_periode,wemo,vent_u10,30,0.7816284116046283,3.4108807203869065e-07,0.619646238120694,0.0002606087875655067,0.7816284116046283,0.619646238120694,Catalunya_Balears,Autumn,2011-2020,5.732572639305725e-06,0.002221097621296932
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7797760456859935,3.791640900750197e-07,0.8354655741986377,9.25830694283222e-09,0.7797760456859935,0.8354655741986377,Llevant_Iberic,Autumn,2011-2020,6.319401501250329e-06,2.230917335622222e-07
subregio_estacio_periode,wemo,vent_u10,30,0.7785382248782388,4.0672135237963144e-07,0.7297808477687167,4.734285575065633e-06,0.7785382248782388,0.7297808477687167,Mediterrani_Central_Occidental,Winter,2001-2010,6.741237884745272e-06,6.540054119594269e-05
subregio_estacio,wemo,vent_u10,120,0.7773476505026864,1.6546447953302175e-25,0.7458238058056472,1.4810951072702128e-22,0.7773476505026864,0.7458238058056472,Mediterrani_Central_Occidental,Autumn,,1.9855737543962612e-23,1.532167352348496e-20
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7764770276888926,4.566773896156904e-07,0.7222160462979436,6.614548314651518e-06,0.7764770276888926,0.7222160462979436,Catalunya_Balears,Winter,2001-2010,7.5276492793795126e-06,8.741693807909496e-05
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7758328415237067,4.7339752779779807e-07,0.7540327113073723,1.497963690522663e-06,0.7758328415237067,0.7540327113073723,Mediterrani_Central_Occidental,Winter,2001-2010,7.781877169278872e-06,2.3840270936700208e-05
subregio_estacio,wemo,vent_u10,120,0.7748785635191577,2.930981507196709e-25,0.7681614882188531,1.3393369638929395e-24,0.7748785635191577,0.7681614882188531,Mediterrani_Central_Occidental,Spring,,3.448213537878481e-23,1.8263685871267354e-22
subregio_estacio_periode,wemo,vent_u10,30,0.7748043097942302,5.012503302385072e-07,0.7232669814350302,6.3183311515166284e-06,0.7748043097942302,0.7232669814350302,Llevant_Iberic,Winter,2011-2020,8.194828287278048e-06,8.387165245376054e-05
subregio_estacio_periode,wemo,vent_u10,30,0.7744809245495426,5.103106148381888e-07,0.8250083486360981,2.0483989622110776e-08,0.7744809245495426,0.8250083486360981,Catalunya_Balears,Spring,2011-2020,8.320281763666122e-06,4.7232200574478866e-07
subregio_estacio_periode,wemo,vent_u10,30,0.7739945703674886,5.242173602217005e-07,0.8229143492769745,2.3864995934415285e-08,0.7739945703674886,0.8229143492769745,Mediterrani_Central_Occidental,Spring,1981-1990,8.477908790647447e-06,5.403395305905348e-07
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7722646919483862,5.76519155019148e-07,0.7721913236929923,5.788387362617381e-07,0.7722646919483862,0.7721913236929923,Golf_Lleo,Summer,1991-2000,9.248970401376705e-06,1.0037665946735344e-05
subregio_estacio_periode,nao,precipitacio_mensual_mm,30,-0.7718894378710418,5.884725583771925e-07,-0.6978865406006673,1.8098284291763855e-05,0.7718894378710418,0.6978865406006673,Mediterrani_Central_Occidental,Winter,1991-2000,9.41556093403508e-06,0.0002184903536229037
subregio_estacio,nao,pressio_nivell_mar,120,0.7717758201313492,5.951400193649186e-25,0.7472350031510891,1.1164287110577926e-22,0.7717758201313492,0.7472350031510891,Catalunya_Balears,Winter,,6.737434181489645e-23,1.1751881169029396e-20
estacio_periode,nao,pressio_nivell_mar,120,0.7681237369441433,1.3506274083718013e-24,0.7304430261330295,2.8710977124129005e-21,0.7681237369441433,0.7304430261330295,,Winter,2001-2010,1.4734117182237834e-22,2.691654105387094e-19
