ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr
subregio_estacio,wemo,vent_u10,120,0.8783468061660941,1.2456781820460294e-39,0.8715669290399949,2.487092055797847e-38,0.8783468061660941,0.8715669290399949,Mediterrani_Central_Occidental,Winter,,2.8746419585677602e-37,5.526871235106326e-36
subregio_estacio,wemo,vent_u10,120,0.8723077632173356,1.808179450275109e-38,0.8731677846824908,1.2457469109637636e-38,0.8723077632173356,0.8731677846824908,Golf_Lleo,Winter,,3.7410609316036745e-36,2.8748005637625312e-36
subregio_estacio,wemo,vent_u10,120,0.86438633877092,4.9508132691278795e-37,0.8564820767384733,1.0996969092413674e-35,0.86438633877092,0.8564820767384733,Catalunya_Balears,Winter,,9.90162653825576e-35,2.275234984637312e-33
subregio_estacio,nao,pressio_nivell_mar,120,0.8274206514820366,2.379658906967578e-31,0.7947877421112909,2.341582216057206e-27,0.8274206514820366,0.7947877421112909,Llevant_Iberic,Winter,,4.3266525581228686e-29,3.7971603503630366e-25
subregio_estacio,wemo,velocitat_vent,120,0.8147599476722672,1.044541982928341e-29,0.8334346170871842,3.5382670995233133e-32,0.8147599476722672,0.8334346170871842,Mediterrani_Central_Occidental,Winter,,1.6938518642081203e-27,6.433212908224206e-30
subregio_estacio,wemo,vent_u10,120,0.7773476505026864,1.6546447953302175e-25,0.7458238058056472,1.4810951072702128e-22,0.7773476505026864,0.7458238058056472,Mediterrani_Central_Occidental,Autumn,,1.9855737543962612e-23,1.532167352348496e-20
subregio_estacio,wemo,vent_u10,120,0.7748785635191577,2.930981507196709e-25,0.7681614882188531,1.3393369638929395e-24,0.7748785635191577,0.7681614882188531,Mediterrani_Central_Occidental,Spring,,3.448213537878481e-23,1.8263685871267354e-22
subregio_estacio,nao,pressio_nivell_mar,120,0.7717758201313492,5.951400193649186e-25,0.7472350031510891,1.1164287110577926e-22,0.7717758201313492,0.7472350031510891,Catalunya_Balears,Winter,,6.737434181489645e-23,1.1751881169029396e-20
subregio_estacio,nao,pressio_nivell_mar,120,0.7609694452172275,6.4450776251807495e-24,0.7670462735504084,1.715133824855397e-24,0.7609694452172275,0.7670462735504084,Llevant_Iberic,Autumn,,6.667321681221465e-22,2.2868450998071955e-22
subregio_estacio,nao,pressio_nivell_mar,120,0.748669972168467,8.359427853611553e-23,0.7242295339228624,8.982715089339102e-21,0.748669972168467,0.7242295339228624,Mediterrani_Central_Occidental,Winter,,8.222388052732676e-21,7.811056599425306e-19
subregio_estacio,wemo,vent_u10,120,0.7388772737945083,5.797605883002657e-22,0.7577333910387148,1.2837045155251553e-23,0.7388772737945083,0.7577333910387148,Catalunya_Balears,Spring,,5.521529412383482e-20,1.426338350583506e-21
subregio_estacio,wemo,vent_u10,120,0.7350615930299127,1.2046396876848487e-21,0.7255579114288,7.057388694192061e-21,0.7350615930299127,0.7255579114288,Golf_Lleo,Autumn,,1.0787818098670287e-19,6.227107671345937e-19
subregio_estacio,wemo,vent_u10,120,0.7226188770661389,1.2012069834066812e-20,0.6865111888526886,4.942259554423055e-18,0.7226188770661389,0.6865111888526886,Golf_Lleo,Spring,,9.739516081675794e-19,3.294839702948703e-16
subregio_estacio,nao,pressio_nivell_mar,120,0.7043697607023581,2.819187319901794e-19,0.6790346385258254,1.543850047342843e-17,0.7043697607023581,0.6790346385258254,Golf_Lleo,Winter,,2.1143904899263454e-17,9.750631877954798e-16
subregio_estacio,nao,pressio_nivell_mar,120,0.7025974587798492,3.7816169068676445e-19,0.7219344837388136,1.3582453671769235e-20,0.7025974587798492,0.7219344837388136,Catalunya_Balears,Autumn,,2.669376640141867e-17,1.1478129863466959e-18
subregio_estacio,nao,pressio_nivell_mar,120,0.6969734449139409,9.468899454091346e-19,0.7196495512704872,2.041652668795962e-20,0.6969734449139409,0.7196495512704872,Mediterrani_Central_Occidental,Autumn,,6.456067809607736e-17,1.6333221350367695e-18
subregio_estacio,wemo,velocitat_vent,120,0.6872155036625375,4.431604822118523e-18,0.6994176500354741,6.370786652013074e-19,0.6872155036625375,0.6994176500354741,Catalunya_Balears,Winter,,2.921937245352872e-16,4.5505618942950526e-17
subregio_estacio,wemo,vent_u10,120,0.680223170060784,1.2910530727004547e-17,0.658238749607422,3.096741685797041e-16,0.680223170060784,0.658238749607422,Catalunya_Balears,Autumn,,7.904406567553803e-16,1.803927195609927e-14
subregio_estacio,nao,pressio_nivell_mar,120,0.6523460796031615,6.941992156688168e-16,0.6321917511154873,9.64089769844298e-15,0.6523460796031615,0.6321917511154873,Llevant_Iberic,Summer,,3.718924369654376e-14,4.986671223332575e-13
subregio_estacio,nao,pressio_nivell_mar,120,0.6494533637463171,1.025100524294457e-15,0.6107367519747549,1.2946358457042542e-13,0.6494533637463171,0.6107367519747549,Llevant_Iberic,Spring,,5.3952659173392473e-14,5.929629827653073e-12
subregio_estacio,nao,pressio_nivell_mar,120,0.6461086338715661,1.6004376592051657e-15,0.6650681401197946,1.187631159420777e-16,0.6461086338715661,0.6650681401197946,Golf_Lleo,Autumn,,8.207372611308543e-14,7.413734653282695e-15
subregio_estacio,nao,pressio_nivell_mar,120,0.6442046710122942,2.0573290537103962e-15,0.6450515145462308,1.840300659279013e-15,0.6442046710122942,0.6450515145462308,Golf_Lleo,Summer,,1.0460995188357947e-13,9.947571131237907e-14
subregio_estacio,wemo,vent_u10,120,0.6402648200620537,3.440099962352182e-15,0.6124748675600596,1.0566510104926675e-13,0.6402648200620537,0.6124748675600596,Llevant_Iberic,Winter,,1.6645644979123461e-13,4.876850817658465e-12
subregio_estacio,wemo,velocitat_vent,120,0.6324892445417897,9.28662192769789e-15,0.6280818970934454,1.6105057455699837e-14,0.6324892445417897,0.6280818970934454,Mediterrani_Central_Occidental,Spring,,4.319359036138554e-13,8.166648654035417e-13
subregio_estacio,nao,pressio_nivell_mar,120,0.6297683865067897,1.3059229653280297e-14,0.6142539161261698,8.571888731095066e-14,0.6297683865067897,0.6142539161261698,Catalunya_Balears,Summer,,5.84741626266282e-13,4.018072842700812e-12
subregio_estacio,nao,pressio_nivell_mar,120,0.618601574790337,5.112377490738151e-14,0.5745493944482651,6.807854683508795e-12,0.618601574790337,0.5745493944482651,Catalunya_Balears,Spring,,2.160159503128796e-12,2.6524109156527775e-10
subregio_estacio,wemo,vent_u10,120,0.5910889966554037,1.1830381160805245e-12,0.6285205309513118,1.5252323337440796e-14,0.5910889966554037,0.6285205309513118,Llevant_Iberic,Summer,,4.550146600309709e-11,7.821704275610664e-13
