target,term,coef_logit,odds_ratio,p_value,or_ci_low,or_ci_high,pseudo_r2,n,q_fdr
mes_molt_calid,roni,0.23214323340661583,1.2613003762403032,0.000993307846741983,1.0985038684952013,1.4482230647792025,0.08587816319576247,1920,0.003035107309489393
episodi_calid_i_sol_sec,roni,0.33773930402748875,1.4017750186654576,0.002739789679038145,1.1238461657865764,1.7484360963043957,0.07065736072146978,1920,0.0075344216173548985
episodi_calid_i_sec,roni,0.33103315587308413,1.3924059579780828,0.012334661107049357,1.0743965681390457,1.8045425770216614,0.12091192477888513,1920,0.030836652767623395
sol_molt_sec,roni,-0.03854011775883525,0.9621931029346573,0.5127981642232595,0.8573109733983442,1.0799063537763087,0.01645604133304912,1920,0.5755897761689648
mes_molt_sec,roni,0.037109423229989134,1.0378065747728402,0.6478246875931251,0.8850434718782119,1.2169373831503085,0.13554831470018047,1920,0.6851991888004207
