model,term,coef_estandarditzat,p_value,ci_low,ci_high,r_squared,n,q_fdr
precipitacio_z,Intercept,0.134226798372998,0.009818890524037564,0.0323425511185398,0.23611104562745622,0.10702859914969698,1920,0.035705056451045686
precipitacio_z,C(subregio)[T.Catalunya_Balears],-2.4766097496636715e-16,0.9999999999999962,-0.10278539347502663,0.10278539347502613,0.10702859914969698,1920,1.0
precipitacio_z,C(subregio)[T.Golf_Lleo],3.3728942334945155e-18,1.0,-0.13406440814632065,0.13406440814632065,0.10702859914969698,1920,1.0
precipitacio_z,C(subregio)[T.Mediterrani_Central_Occidental],-1.1257371290271733e-16,0.9999999999999982,-0.10059753945507043,0.1005975394550702,0.10702859914969698,1920,1.0
precipitacio_z,C(estacio)[T.Spring],-0.11065257018283714,0.07055701888026107,-0.23058449032956388,0.0092793499638896,0.10702859914969698,1920,0.17639254720065267
precipitacio_z,C(estacio)[T.Summer],-0.19183019129592835,0.00031869986499801476,-0.2962805894928954,-0.08737979309896135,0.10702859914969698,1920,0.0018211420857029415
precipitacio_z,C(estacio)[T.Autumn],-0.2344244320132262,0.0011621478573033445,-0.3758843736874444,-0.09296449033900805,0.10702859914969698,1920,0.005810739286516722
precipitacio_z,nao_z,-0.34203778752857394,6.227970049458384e-51,-0.3866973974655982,-0.29737817759154966,0.10702859914969698,1920,2.4911880197833537e-49
precipitacio_z,wemo_z,0.014875323028334381,0.5408657716980152,-0.03280234225533332,0.06255298831200208,0.10702859914969698,1920,0.9406361246922003
precipitacio_z,roni_z,0.04281598967212963,0.050671781604216266,-0.00012521146847870035,0.08575719081273796,0.10702859914969698,1920,0.1351247509445767
humitat_sol_z,Intercept,0.09874420022009524,0.1331546292967078,-0.03012648815139536,0.22761488859158585,0.056083445967945345,1920,0.29589917621490625
humitat_sol_z,C(subregio)[T.Catalunya_Balears],-3.31918837327088e-08,0.9999996027619542,-0.13066802489798723,0.13066795851421975,0.056083445967945345,1920,1.0
humitat_sol_z,C(subregio)[T.Golf_Lleo],6.313732857431207e-08,0.9999992245627409,-0.12732904298637507,0.12732916926103224,0.056083445967945345,1920,1.0
humitat_sol_z,C(subregio)[T.Mediterrani_Central_Occidental],2.362089705525354e-08,0.9999997364883023,-0.1401795195736077,0.14017956681540178,0.056083445967945345,1920,1.0
humitat_sol_z,C(estacio)[T.Spring],-0.0825557490622193,0.1887345031979355,-0.20566489876087624,0.04055340063643764,0.056083445967945345,1920,0.39733579620618
humitat_sol_z,C(estacio)[T.Summer],-0.14125200356478396,0.009576257692726891,-0.24811184262579883,-0.034392164503769085,0.056083445967945345,1920,0.035705056451045686
humitat_sol_z,C(estacio)[T.Autumn],-0.17116910181972,0.008302100361737275,-0.2982694711392587,-0.04406873250018131,0.056083445967945345,1920,0.035705056451045686
humitat_sol_z,nao_z,-0.24406307940112998,5.1158408430785444e-27,-0.28850517091280686,-0.19962098788945312,0.056083445967945345,1920,5.115840843078544e-26
humitat_sol_z,wemo_z,-0.007988754856392066,0.7286225038550248,-0.053117126809329215,0.03713961709654509,0.056083445967945345,1920,1.0
humitat_sol_z,roni_z,0.04978226105385149,0.023024609314994747,0.006856471387125446,0.09270805072057753,0.056083445967945345,1920,0.07084495173844538
temperatura_z,Intercept,-0.04778281633097117,0.4336586462452722,-0.1673984258872439,0.07183279322530156,0.11296895893029368,1920,0.7884702659004948
temperatura_z,C(subregio)[T.Catalunya_Balears],-5.511295784551435e-08,0.9999992135738803,-0.10959333961528532,0.10959322938936962,0.11296895893029368,1920,1.0
temperatura_z,C(subregio)[T.Golf_Lleo],1.652809885345275e-07,0.9999980480872831,-0.13241894349729505,0.13241927405927212,0.11296895893029368,1920,1.0
temperatura_z,C(subregio)[T.Mediterrani_Central_Occidental],1.0519517838982408e-07,0.999998469578856,-0.10749112413510863,0.1074913345254654,0.11296895893029368,1920,1.0
temperatura_z,C(estacio)[T.Spring],0.018201639531477035,0.7753966426846672,-0.10683051580665757,0.14323379486961163,0.11296895893029368,1920,1.0
temperatura_z,C(estacio)[T.Summer],0.06429800294046634,0.35538473775186885,-0.07206039994232874,0.2006564058232614,0.11296895893029368,1920,0.7107694755037377
temperatura_z,C(estacio)[T.Autumn],0.10863140748873212,0.10290833980397186,-0.021917209687466327,0.23918002466493057,0.11296895893029368,1920,0.24213727012699263
temperatura_z,nao_z,0.238867334386065,1.2338751464856096e-23,0.19214779154865835,0.28558687722347165,0.11296895893029368,1920,9.871001171884877e-23
temperatura_z,wemo_z,-0.2701628070572989,4.0581011971226514e-40,-0.3101017992247124,-0.23022381488988533,0.11296895893029368,1920,8.116202394245303e-39
temperatura_z,roni_z,0.046157414854927525,0.025151831568448392,0.005753513934373969,0.08656131577548108,0.11296895893029368,1920,0.07186237590985255
