ambit,teleconnexio,fase_a,fase_b,variable,n_a,n_b,mean_a,mean_b,diff_b_minus_a,cohens_d,mannwhitney_p,abs_diff,abs_d,subregio,estacio,periode,mannwhitney_q_fdr
subregio_estacio,wemo,Negative,Positive,anomalia_sst,48,34,0.06989447259374998,-0.2442108908588236,-0.31410536345257356,-0.632676563301857,0.03624072523487952,0.31410536345257356,0.632676563301857,Llevant_Iberic,Spring,,0.09581391249368393
subregio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,191,197,6.720292566271854,-7.690456173477013,-14.410748739748868,-0.6145853170783585,3.3794331779027585e-08,14.410748739748868,0.6145853170783585,Mediterrani_Central_Occidental,,,5.104598366622348e-07
subregio_estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,40,52,0.018207972105,-0.009696844032884613,-0.027904816137884612,-0.612968172983794,0.008230384447247012,0.027904816137884612,0.612968172983794,Llevant_Iberic,Spring,,0.029530947518361373
subregio_estacio,roni,La Nina,El Nino,anomalia_precipitacio_mensual_mm,27,31,-3.870645057382408,10.253103446095224,14.123748503477632,0.5977018036521572,0.034004013497072993,14.123748503477632,0.5977018036521572,Golf_Lleo,Summer,,0.09146783207182774
subregio_estacio,nao,Negative,Positive,anomalia_temperatura,40,52,-0.3824615579,0.3583163787115385,0.7407779366115386,0.5972644543796451,0.006820588975232314,0.7407779366115386,0.5972644543796451,Golf_Lleo,Spring,,0.025400814114658273
subregio,wemo,Negative,Positive,anomalia_temperatura,170,145,0.4376346292317647,-0.3504209979137931,-0.7880556271455579,-0.5947608668009411,1.4736371654134947e-07,0.7880556271455579,0.5947608668009411,Golf_Lleo,,,2.014592580565284e-06
subregio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,191,197,6.759103108605087,-7.702776986997819,-14.461880095602906,-0.5936873807597637,7.902632126664998e-08,14.461880095602906,0.5936873807597637,Catalunya_Balears,,,1.1230056179997628e-06
subregio_estacio,wemo,Negative,Positive,anomalia_humitat_sol_capa1,48,34,-0.002743397468749999,0.02172315992352941,0.02446655739227941,0.5884392759097457,0.02033497163644283,0.02446655739227941,0.5884392759097457,Mediterrani_Central_Occidental,Spring,,0.06092030337686062
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,48,34,0.12303954399583332,-0.3905005197941177,-0.513540063789951,-0.5881370792976591,0.01384375284043607,0.513540063789951,0.5881370792976591,Llevant_Iberic,Spring,,0.04463060617215211
subregio_estacio,nao,Negative,Positive,anomalia_sst,28,69,-0.1778215657142857,0.09058080212028985,0.26840236783457555,0.5815872456249706,0.010724859666858256,0.26840236783457555,0.5815872456249706,Llevant_Iberic,Winter,,0.036770947429228304
subregio_estacio,wemo,Negative,Positive,anomalia_precipitacio_mensual_mm,33,43,-13.259262806560956,9.536890383931096,22.796153190492053,0.5801398540896853,0.0019219949902511638,22.796153190492053,0.5801398540896853,Golf_Lleo,Winter,,0.008685165646323252
subregio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,191,197,11.326725650290076,-10.136141919180146,-21.46286756947022,-0.5791082689505161,7.003993927672083e-08,21.46286756947022,0.5791082689505161,Golf_Lleo,,,1.0136701228154513e-06
