WeMOi monthly data (1821-2019)												
												
-999 missing value												
												
Moderate reliable values: 1821-1869. Jul1873-Aug1873. May1874. 1921. Jul1924. Apr1927. 1933-1943. Jun1989-Dec1994. Mar2002. Jun2006-Jul2006. Jun2011-Dec2011.												
                                                                                												
MARTIN-VIDE J. LOPEZ-BUSTINS JA. 2006. The Western Mediterranean Oscillation and Iberian Peninsula Rainfall. International Journal of Climatology 26: 1455-1475.												
												
												
												
	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1865	1,02	1,46	2,05	-3,03	-0,66	-0,47	0,64	1,49	-1,67	1,55	-0,42	-1,03
1866	-0,17	0,39	0,13	-1,76	-1,10	-0,83	2,43	0,60	0,79	-1,03	0,66	-0,12
1867	0,30	0,07	-0,49	2,43	-0,59	-0,76	0,33	-1,36	-0,32	0,79	-1,43	1,11
1868	0,99	-0,23	1,20	1,03	-1,36	-0,79	1,91	0,27	0,25	1,66	0,83	0,58
1869	-0,79	0,22	2,35	1,49	0,51	0,26	-0,36	-0,11	0,97	1,04	1,47	0,20
1870	-0,53	-1,31	-0,71	-1,09	0,60	-0,07	0,07	2,32	0,11	3,03	0,07	0,82
1871	1,04	-0,13	-1,18	1,68	-2,14	3,11	1,18	-0,61	1,40	-0,41	0,69	-0,80
1872	0,50	-1,13	-1,29	0,32	1,04	0,31	-0,41	1,16	-0,33	0,58	0,68	0,20
1873	0,35	1,02	-0,71	1,00	1,82	0,47	0,08	0,44	1,00	0,10	-0,23	-0,67
1874	-0,98	0,33	-0,07	1,82	0,53	0,47	1,00	0,77	-0,01	-0,11	1,08	2,19
1875	0,42	-0,08	-0,84	0,45	-1,90	1,31	2,20	0,19	-0,11	2,50	1,36	-0,27
1876	-1,21	0,80	1,77	2,47	-0,14	2,69	0,12	0,61	1,94	-0,98	-0,42	0,83
1877	0,36	1,73	1,24	2,18	1,17	-1,39	1,36	0,94	-0,58	1,41	1,47	0,98
1878	0,93	-0,10	1,40	2,22	1,51	0,58	1,36	2,29	0,30	0,47	0,72	1,15
1879	0,05	3,02	-0,53	5,07	2,36	1,61	2,39	0,46	2,43	0,21	-0,76	-1,09
1880	-1,14	-0,02	-1,45	0,71	-0,90	2,99	1,79	2,10	1,28	1,47	0,09	1,10
1881	-0,37	-0,47	-0,77	-0,53	1,36	1,28	0,35	1,66	1,84	1,45	-0,23	0,21
1882	-1,01	-0,01	1,24	2,56	-0,03	1,31	3,17	2,57	3,26	1,95	3,05	0,85
1883	0,23	0,01	0,37	0,02	1,21	2,07	2,61	0,32	3,00	1,31	0,74	0,37
1884	0,42	-1,20	-1,86	0,70	0,20	2,68	1,59	-0,01	0,82	1,16	-1,48	0,87
1885	-0,85	-0,14	-1,04	1,49	2,34	-0,03	0,80	0,81	0,49	2,94	-0,35	-0,47
1886	0,84	-0,49	-0,03	-1,50	0,87	2,77	-0,23	-0,11	0,39	0,48	-0,05	1,70
1887	-0,53	-1,24	-1,15	-1,41	0,90	-0,77	-0,58	-0,12	0,59	1,47	0,08	0,60
1888	-0,38	0,07	1,33	0,99	0,25	0,92	3,71	1,16	-0,75	0,88	0,18	-1,71
1889	-0,50	2,45	1,30	3,67	0,02	1,70	2,05	1,20	0,16	1,00	-0,33	-0,63
1890	0,47	-2,11	-0,68	1,09	1,08	1,20	1,57	1,32	-0,50	1,81	2,10	-1,30
1891	0,30	-1,35	0,20	1,55	2,33	-0,41	2,07	1,66	0,41	-1,36	-1,33	0,08
