Període,Catalunya-Balears,Golf del Lleó,Llevant Ibèric,Mediterrani central occidental
1981-1990,0.8333333333333334,3.3333333333333335,2.5,2.5
1991-2000,4.166666666666666,2.5,4.166666666666666,2.5
2001-2010,6.666666666666667,6.666666666666667,10.0,4.166666666666666
2011-2020,11.666666666666666,14.166666666666666,12.5,10.833333333333334
