Data,Any,Mes,Estació,Subregió,Període,NAO,Fase NAO,Anomalia precipitació mensual (mm),Precipitació mensual (mm),Es hivern
2010-12,2010,12,Hivern,Golf del Lleó,2001-2010,-4.61,Negativa,11.67390987575054,96.74780130386353,True
2011-01,2011,1,Hivern,Golf del Lleó,2011-2020,-1.38,Negativa,-26.535128380358216,52.60090696811676,True
2020-12,2020,12,Hivern,Golf del Lleó,2011-2020,-0.78,Negativa,38.36681863963604,123.44071006774902,True
1981-12,1981,12,Hivern,Llevant Ibèric,1981-1990,-2.2,Negativa,-3.288043664209546,34.59033286571503,True
1982-01,1982,1,Hivern,Llevant Ibèric,1981-1990,-0.72,Negativa,7.780278976401313,46.42296755313873,True
1983-02,1983,2,Hivern,Llevant Ibèric,1981-1990,-1.25,Negativa,6.859259080514313,39.57264471054077,True
1985-01,1985,1,Hivern,Llevant Ibèric,1981-1990,-2.87,Negativa,-5.226423327485101,33.41626524925232,True
1986-02,1986,2,Hivern,Llevant Ibèric,1981-1990,-4.02,Negativa,1.8258361335843816,34.53922176361084,True
1987-01,1987,1,Hivern,Llevant Ibèric,1981-1990,-2.12,Negativa,21.26877313419245,59.91146171092987,True
1987-12,1987,12,Hivern,Llevant Ibèric,1981-1990,-0.81,Negativa,8.110895945318042,45.989272475242615,True
1989-12,1989,12,Hivern,Llevant Ibèric,1981-1990,-2.23,Negativa,47.04514188934117,84.92351841926575,True
1995-12,1995,12,Hivern,Llevant Ibèric,1991-2000,-3.33,Negativa,25.480883075483145,63.35925960540772,True
1996-01,1996,1,Hivern,Llevant Ibèric,1991-2000,-3.27,Negativa,17.34766822620295,55.99035680294037,True
1996-12,1996,12,Hivern,Llevant Ibèric,1991-2000,-4.7,Negativa,34.143535568006335,72.02191209793091,True
1997-01,1997,1,Hivern,Llevant Ibèric,1991-2000,-1.95,Negativa,34.51764815612696,73.16033673286438,True
2000-12,2000,12,Hivern,Llevant Ibèric,1991-2000,-1.41,Negativa,-11.638078199140727,26.240298330783844,True
2001-12,2001,12,Hivern,Llevant Ibèric,2001-2010,-2.25,Negativa,7.521875812299548,45.40025234222412,True
2002-12,2002,12,Hivern,Llevant Ibèric,2001-2010,-0.98,Negativa,-8.93545697759837,28.9429195523262,True
2003-12,2003,12,Hivern,Llevant Ibèric,2001-2010,-0.85,Negativa,3.203565074689685,41.08194160461426,True
2004-02,2004,2,Hivern,Llevant Ibèric,2001-2010,-1.23,Negativa,3.934063267335297,36.64744889736176,True
2005-02,2005,2,Hivern,Llevant Ibèric,2001-2010,-2.25,Negativa,13.60397620163858,46.31736183166504,True
2005-12,2005,12,Hivern,Llevant Ibèric,2001-2010,-0.81,Negativa,-17.558780239336194,20.31959629058838,True
2006-02,2006,2,Hivern,Llevant Ibèric,2001-2010,-1.24,Negativa,12.041921090707184,44.75530672073364,True
2008-12,2008,12,Hivern,Llevant Ibèric,2001-2010,-0.58,Negativa,1.2178352611139402,39.09621179103851,True
2009-02,2009,2,Hivern,Llevant Ibèric,2001-2010,-1.43,Negativa,-16.24384145773947,16.469544172286987,True
2009-12,2009,12,Hivern,Llevant Ibèric,2001-2010,-3.73,Negativa,55.63296075034887,93.51133728027344,True
2010-01,2010,1,Hivern,Llevant Ibèric,2001-2010,-2.38,Negativa,41.0573536710348,79.70004224777222,True
2010-02,2010,2,Hivern,Llevant Ibèric,2001-2010,-3.92,Negativa,22.35459704361856,55.06798267364502,True
2010-12,2010,12,Hivern,Llevant Ibèric,2001-2010,-4.61,Negativa,-9.206482218019666,28.671894311904907,True
2011-01,2011,1,Hivern,Llevant Ibèric,2011-2020,-1.38,Negativa,-1.527398769417779,37.11528980731964,True
2020-12,2020,12,Hivern,Llevant Ibèric,2011-2020,-0.78,Negativa,-17.416478083841504,20.46189844608307,True
1981-12,1981,12,Hivern,Mediterrani central occidental,1981-1990,-2.2,Negativa,1.9871991395950344,74.599773645401,True
1982-01,1982,1,Hivern,Mediterrani central occidental,1981-1990,-0.72,Negativa,-4.055133050680162,54.788140654563904,True
1983-02,1983,2,Hivern,Mediterrani central occidental,1981-1990,-1.25,Negativa,20.58291512206197,73.96072483062744,True
1985-01,1985,1,Hivern,Mediterrani central occidental,1981-1990,-2.87,Negativa,24.33710520863533,83.1803789138794,True
1986-02,1986,2,Hivern,Mediterrani central occidental,1981-1990,-4.02,Negativa,57.76519470885396,111.14300441741943,True
1987-01,1987,1,Hivern,Mediterrani central occidental,1981-1990,-2.12,Negativa,47.6876298725605,106.53090357780457,True
1987-12,1987,12,Hivern,Mediterrani central occidental,1981-1990,-0.81,Negativa,-9.144815373420712,63.46775913238525,True
1989-12,1989,12,Hivern,Mediterrani central occidental,1981-1990,-2.23,Negativa,-17.157058286666867,55.4555162191391,True
1995-12,1995,12,Hivern,Mediterrani central occidental,1991-2000,-3.33,Negativa,15.63100726604462,88.24358177185059,True
1996-01,1996,1,Hivern,Mediterrani central occidental,1991-2000,-3.27,Negativa,20.180472069978716,79.02374577522278,True
1996-12,1996,12,Hivern,Mediterrani central occidental,1991-2000,-4.7,Negativa,42.944233250617984,115.55680775642396,True
1997-01,1997,1,Hivern,Mediterrani central occidental,1991-2000,-1.95,Negativa,0.2184733688831315,59.0617470741272,True
2000-12,2000,12,Hivern,Mediterrani central occidental,1991-2000,-1.41,Negativa,25.103614640235904,97.71618914604188,True
2001-12,2001,12,Hivern,Mediterrani central occidental,2001-2010,-2.25,Negativa,-23.865233707427976,48.74734079837799,True
2002-12,2002,12,Hivern,Mediterrani central occidental,2001-2010,-0.98,Negativa,24.825233530998236,97.4378080368042,True
2003-12,2003,12,Hivern,Mediterrani central occidental,2001-2010,-0.85,Negativa,18.60592682361603,91.218501329422,True
2004-02,2004,2,Hivern,Mediterrani central occidental,2001-2010,-1.23,Negativa,-12.665773694962262,40.71203601360321,True
2005-02,2005,2,Hivern,Mediterrani central occidental,2001-2010,-2.25,Negativa,27.82297402098775,81.20078372955322,True
2005-12,2005,12,Hivern,Mediterrani central occidental,2001-2010,-0.81,Negativa,4.903338265419009,77.51591277122498,True
2006-02,2006,2,Hivern,Mediterrani central occidental,2001-2010,-1.24,Negativa,-9.749898617714642,43.62791109085083,True
2008-12,2008,12,Hivern,Mediterrani central occidental,2001-2010,-0.58,Negativa,44.18846709728241,116.80104160308838,True
2009-02,2009,2,Hivern,Mediterrani central occidental,2001-2010,-1.43,Negativa,-5.307130043953656,48.070679664611816,True
2009-12,2009,12,Hivern,Mediterrani central occidental,2001-2010,-3.73,Negativa,21.531489443778995,94.14406394958496,True
2010-01,2010,1,Hivern,Mediterrani central occidental,2001-2010,-2.38,Negativa,61.51406162381172,120.3573353290558,True
2010-02,2010,2,Hivern,Mediterrani central occidental,2001-2010,-3.92,Negativa,25.326054389029743,78.70386409759521,True
2010-12,2010,12,Hivern,Mediterrani central occidental,2001-2010,-4.61,Negativa,-2.604681181907651,70.00789332389832,True
